R#,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,TOTAL
30,Bruno Fernando,C,ATL,56,12.7,0.518                                                          (1.8/3.6) good (i) 0.5134314500 (i),0.569                                                          (0.5/0.9) bavg (i) -0.8149346800 (i),-6.02
31,Goga Bitadze,C,IND,54,8.7,0.467                                                          (1.3/2.8)  (i) 0.1473701900 (i),0.727                                                          (0.4/0.6)  (i) -0.2119543300 (i),-6.05
32,Sekou Doumbouya,"SF,PF",DET,38,19.8,0.390                                                          (2.4/6.2) bavg (i) -0.7545826800 (i),0.674                                                          (0.8/1.2) bavg (i) -0.5463271400 (i),-6.06
33,Marko Guduric,SG,MEM,44,11,0.395                                                          (1.4/3.6) bavg (i) -0.3518758900 (i),0.923                                                          (0.6/0.6)  (i) 0.2848507700 (i),-6.21
34,Chris Silva,SG,MIA,44,7.9,0.615                                                          (1.1/1.8) good (i) 0.6489805100 (i),0.673                                                          (0.8/1.3) bavg (i) -0.5899065300 (i),-6.23
35,Chris Clemons,PG,HOU,33,8.8,0.401                                                          (1.7/4.3) bavg (i) -0.3830048900 (i),0.909                                                          (0.3/0.3)  (i) 0.0919129100 (i),-6.27
36,DaQuan Jeffries,,ORL,13,10.9,0.500                                                          (1.5/3.1)  (i) 0.3483295500 (i),0.833                                                          (0.4/0.5)  (i) 0.0103005800 (i),-6.48
37,Nicolas Claxton,C,BRO,15,12.5,0.563                                                          (1.8/3.2) good (i) 0.7518244200 (i),0.524                                                          (0.7/1.4) ngood (i) -1.4856611800 (i),-6.57
38,Ty Jerome,"PG,SG",PHX,31,10.6,0.336                                                          (1.2/3.7) bavg (i) -0.7790130400 (i),0.750                                                          (0.4/0.5)  (i) -0.1343037700 (i),-6.81
39,Terance Mann,SF,LAC,41,8.8,0.468                                                          (0.9/1.9)  (i) 0.1296384900 (i),0.667                                                          (0.4/0.7) bavg (i) -0.3652745600 (i),-7.2
40,Admiral Schofield,SF,WAS,33,11.2,0.385                                                          (1.1/2.8) bavg (i) -0.3073496000 (i),0.667                                                          (0.3/0.5) bavg (i) -0.2761348900 (i),-7.58
41,Jaylen Hoard,SF,POR,13,7.9,0.469                                                          (1.2/2.5)  (i) 0.1418536600 (i),0.615                                                          (0.6/1.0) bavg (i) -0.6948932600 (i),-7.65
42,Carsen Edwards,PG,BOS,37,9.5,0.328                                                          (1.1/3.5) bavg (i) -0.7841355300 (i),0.684                                                          (0.4/0.5) bavg (i) -0.2618725400 (i),-7.7
43,Romeo Langford,SG,BOS,32,11.6,0.350                                                          (0.9/2.5) bavg (i) -0.4263490700 (i),0.720                                                          (0.6/0.8) bavg (i) -0.2579107800 (i),-7.9
